Time,Postmile (Abs),Postmile (CA),VDS,Speed,# Lane Points,% Observed
0:00,0.18,R2.33,759257,67.37,108,100.00
0:00,0.48,R2.63,737229,65.77,108,66.67
0:00,0.93,R3.08,737237,66.80,108,100.00
0:00,1.34,R3.49,737246,63.23,108,0.00
0:00,1.78,R3.93,737257,69.50,144,100.00
0:00,2.35,R4.5,765506,67.83,144,100.00
0:00,2.53,R4.68,737278,67.13,144,100.00
0:00,3.06,R5.21,764054,66.87,144,100.00
0:00,3.46,R5.61,718410,67.07,108,100.00
0:00,3.58,R5.73,764125,63.93,108,0.00
0:00,3.59,R5.74,764130,67.30,108,66.67
0:00,4.01,R6.16,718412,64.10,180,0.00
0:00,4.35,R6.5,763336,66.33,144,50.00
0:00,4.58,R6.73,717008,66.00,180,60.00
0:00,5.07,R7.22,717009,69.57,180,100.00
0:00,5.65,R7.8,768584,68.00,180,60.00
0:00,5.84,R7.99,717011,65.87,180,0.00
0:00,6.21,R8.36,716036,70.23,180,100.00
0:00,6.60,R8.75,717014,66.73,144,100.00
0:00,6.86,R9.01,717016,66.83,144,100.00
0:00,7.06,R9.21,717020,67.50,144,100.00
0:00,7.36,R9.51,717022,70.43,180,100.00
0:00,7.65,R9.8,718415,66.33,180,0.00
0:00,8.08,R10.23,763963,66.00,144,100.00
0:00,8.15,R10.3,764249,67.23,144,100.00
0:00,8.38,R10.53,717028,63.60,144,0.00
0:00,8.55,R10.7,716047,69.60,144,0.00
0:00,8.91,R11.06,716050,62.57,144,0.00
0:00,9.39,R11.54,717032,69.03,180,100.00
0:00,10.08,R12.23,717035,67.20,180,60.00
0:00,10.30,R12.45,763346,65.13,144,100.00
0:00,10.43,R12.58,716057,66.20,144,0.00
0:00,10.80,R12.95,717039,68.17,180,100.00
0:00,11.29,R13.44,737184,60.73,144,0.00
0:00,11.38,R13.53,717042,65.00,144,0.00
0:00,11.80,R13.95,718335,67.27,180,80.00
0:00,11.97,14.12,717046,67.83,180,80.00
0:00,12.09,14.24,759385,65.30,144,0.00
0:00,12.22,14.37,764026,69.67,108,0.00
0:00,12.66,14.81,759280,65.00,108,0.00
0:00,12.76,14.91,718419,63.63,144,0.00
0:00,13.63,15.78,763453,67.33,144,100.00
0:00,14.06,16.21,718421,62.63,180,0.00
0:00,14.69,16.84,763458,69.13,180,0.00
0:00,15.25,17.4,737158,69.13,180,0.00
0:00,15.45,17.6,737313,69.13,180,0.00
0:00,16.42,S.18,737320,65.07,108,0.00
0:00,16.76,S.52,716028,66.33,108,33.33
0:00,17.03,18.53,716067,60.17,108,0.00
0:00,17.25,18.75,716069,69.17,144,100.00
0:00,17.53,19.03,716072,60.57,216,0.00
0:00,17.81,19.31,717059,69.27,216,83.33
0:00,18.16,19.66,716075,69.87,216,100.00
0:00,18.55,20.05,716078,69.63,216,94.44
0:00,19.16,20.66,765098,65.40,144,0.00
0:00,19.29,20.79,716081,67.43,144,100.00
0:00,19.54,21.04,737344,67.53,144,100.00
0:00,19.75,21.25,717070,68.03,144,100.00
0:00,20.04,21.54,716085,67.50,144,100.00
0:00,20.51,22.01,716087,73.43,180,100.00
0:00,20.90,22.397,765451,66.33,144,100.00
0:00,21.41,22.91,716092,66.63,144,100.00
0:00,21.79,23.29,717077,67.37,144,100.00
0:00,21.88,23.38,717075,67.47,144,100.00
0:00,22.43,23.93,717089,68.03,144,100.00
0:00,22.53,24.029,717083,62.70,144,0.00
0:00,22.82,24.32,717084,63.47,144,0.00
0:00,23.27,24.77,717093,71.17,144,100.00
0:00,23.37,24.87,717097,65.60,144,91.67
0:00,23.76,25.26,717105,67.20,144,100.00
0:00,23.89,25.39,717110,70.50,144,100.00
0:00,24.27,25.77,717114,67.17,144,100.00
0:00,24.39,25.89,718445,66.70,144,83.33
0:00,24.81,26.31,717123,65.07,144,100.00
0:00,25.29,26.79,717127,68.00,144,100.00
0:00,25.44,26.94,717131,67.07,144,83.33
0:00,25.62,27.12,717133,64.63,144,33.33
0:00,26.33,27.83,717136,70.60,180,100.00
0:00,26.59,28.09,716126,66.67,144,0.00
0:00,27.28,28.78,717146,66.70,144,100.00
0:00,27.60,29.1,774440,70.53,180,100.00
0:00,28.01,29.51,717152,66.53,144,0.00
0:00,28.48,29.98,717155,69.60,144,0.00
0:00,29.19,30.69,717156,64.10,144,0.00
0:00,29.80,31.3,768173,66.13,144,66.67
0:00,30.50,32,775552,62.40,180,0.00
0:00,30.81,32.31,717165,66.13,144,100.00
0:00,31.00,32.5,775030,62.07,144,0.00
0:00,31.96,33.46,717174,69.07,144,0.00
0:00,32.50,34,764222,69.07,144,0.00
0:00,32.94,34.44,717179,69.07,144,0.00
0:00,33.40,34.9,763695,69.73,180,0.00
0:00,33.86,35.36,717185,68.50,144,0.00
0:00,34.00,35.5,717190,68.50,144,0.00
0:00,34.40,35.9,716152,69.07,144,0.00
0:00,34.96,36.46,717195,69.07,144,0.00
0:00,35.06,36.564,717198,69.07,144,0.00
0:00,35.50,37,764217,69.07,144,0.00
0:00,36.09,37.59,717205,69.07,144,0.00
0:00,36.59,38.09,718118,69.07,144,0.00
0:00,36.98,38.48,717214,69.73,180,0.00
0:00,37.45,38.95,717219,69.73,180,0.00
0:00,37.64,39.14,718119,69.73,180,0.00
0:00,39.09,40.59,763479,69.73,180,0.00
0:00,40.48,41.98,717236,69.13,180,0.00
0:00,41.26,42.76,716181,60.67,180,0.00
0:00,42.26,43.76,717241,63.60,144,100.00
0:00,42.63,44.13,717243,64.23,144,100.00
0:00,43.18,44.68,716187,62.90,144,66.67
0:00,43.66,45.16,717247,60.60,144,0.00
0:00,44.12,45.623,768328,59.40,144,0.00
0:00,44.51,46.01,717251,64.67,144,100.00
