Time,Postmile (Abs),Postmile (CA),VDS,Flow,# Lane Points,% Observed
0:00,116.83,.2,762347,696,336,0.00
0:00,117.34,.71,716896,1150,336,0.00
0:00,117.74,1.11,716899,1151,252,0.00
0:00,118.19,1.56,716900,1151,252,0.00
0:00,118.66,2.03,762353,1150,336,0.00
0:00,119.43,2.8,718358,1151,252,0.00
0:00,119.91,3.28,769625,1376,252,0.00
0:00,120.35,3.72,718081,1310,252,0.00
0:00,121.21,4.58,759518,1310,252,0.00
0:00,122.83,6.2,715918,1310,252,0.00
0:00,123.36,6.73,764232,696,252,0.00
0:00,124.43,7.8,763985,2126,336,0.00
0:00,124.90,8.27,759531,1486,336,0.00
0:00,125.04,8.41,759542,1851,336,0.00
0:00,125.49,8.86,759552,2010,336,96.43
0:00,126.13,9.5,715930,2180,336,92.86
0:00,126.50,9.87,716921,1945,336,100.00
0:00,126.96,10.33,715933,1937,336,100.00
0:00,127.35,10.72,716923,1390,336,0.00
0:00,127.93,11.3,763975,1358,336,50.00
0:00,128.17,11.54,716925,2150,336,0.00
0:00,128.81,12.18,715938,2209,336,100.00
0:00,129.26,12.63,716929,2060,336,100.00
0:00,129.66,13.023,764435,2307,336,100.00
0:00,129.98,13.35,715944,2029,336,100.00
0:00,130.30,13.67,718086,1898,336,92.86
0:00,130.98,14.35,716933,2687,420,0.00
0:00,131.43,14.8,759566,1151,420,0.00
0:00,131.77,15.14,759576,1151,420,0.00
0:00,132.40,15.77,716937,696,420,0.00
0:00,132.76,16.13,763700,1080,168,0.00
0:00,135.34,18.71,716942,1873,420,80.00
0:00,136.63,20,763237,1186,336,82.14
0:00,137.73,21.1,716951,1665,336,0.00
0:00,138.10,21.47,718371,2263,420,100.00
0:00,138.43,21.8,716953,2171,420,100.00
0:00,139.03,22.4,763674,2080,336,0.00
0:00,139.39,22.76,763669,1526,336,96.43
0:00,139.83,23.2,716956,1740,420,97.14
0:00,140.49,23.86,759591,1641,336,78.27
0:00,140.99,24.36,775734,1438,336,81.85
0:00,141.17,24.54,759602,1484,336,100.00
0:00,142.53,25.9,761599,1787,420,57.14
0:00,143.51,26.88,761604,1485,336,0.00
0:00,143.83,27.2,718384,1485,420,0.00
0:00,144.40,27.77,716963,696,336,0.00
0:00,144.55,27.92,716968,1150,336,0.00
0:00,145.03,28.4,716971,1486,336,0.00
0:00,145.08,28.45,716973,1486,336,0.00
0:00,145.90,29.27,716974,696,336,0.00
0:00,146.60,29.97,716978,696,336,0.00
0:00,147.32,30.69,716981,696,336,0.00
0:00,148.04,31.41,716985,1371,336,0.00
0:00,149.04,32.41,716988,1516,336,100.00
0:00,150.35,33.72,716990,1398,336,100.00
0:00,150.87,34.24,716994,1790,336,50.00
0:00,151.37,34.74,761644,1488,336,0.00
0:00,151.70,35.07,716997,1439,336,100.00
0:00,152.47,35.84,717000,1492,336,100.00
0:00,153.38,36.75,775462,1788,336,0.00
0:00,153.55,36.92,764156,2350,336,0.00
0:00,154.00,37.37,718389,2419,504,100.00
0:00,154.18,37.55,718092,2847,504,42.86
0:00,154.47,37.84,768682,2943,504,40.48
0:00,154.97,38.34,768664,1828,336,32.14
0:00,155.18,38.55,768655,1745,336,96.43
0:00,155.94,39.31,759617,1219,336,100.00
0:00,156.14,39.51,718394,1210,336,71.43
0:00,156.80,40.17,759834,1117,252,100.00
0:00,157.07,40.44,759626,1012,252,66.67
0:00,159.38,42.75,759636,2014,420,100.00
0:00,160.02,R43.61,774092,2538,420,0.00
0:00,160.73,R44.32,718404,1671,336,100.00
0:00,161.41,R45,775535,2123,420,68.57
0:00,162.01,R45.6,763641,881,168,0.00
0:00,162.11,R45.7,775520,1330,336,50.00
0:00,163.18,R46.77,716007,2085,420,0.00
0:00,165.61,R49.2,759648,1150,336,0.00
0:00,165.91,R49.5,768138,1835,336,0.00
0:00,167.81,R51.4,769091,1835,336,0.00
0:00,168.87,R52.46,759654,696,336,0.00
0:00,170.05,R53.64,759666,696,336,0.00
0:00,170.61,R54.2,716017,696,336,0.00
0:00,171.11,R54.7,769029,2292,420,0.00
0:00,171.41,R55,769042,1835,336,0.00
0:00,171.71,R55.3,769054,1835,336,0.00
0:00,173.17,R56.76,759672,696,336,0.00
0:00,176.01,R59.6,759677,1035,336,0.00
0:00,182.44,R66.1,716023,805,336,85.71
0:00,194.62,R78.1,759685,788,336,100.00
1:00,116.83,.2,762347,476,336,0.00
1:00,117.34,.71,716896,790,336,0.00
1:00,117.74,1.11,716899,789,252,0.00
1:00,118.19,1.56,716900,789,252,0.00
