Time,Postmile (Abs),Postmile (CA),VDS,Flow,# Lane Points,% Observed
0:00,0.11,6.12,716272,338,216,100.00
0:00,0.56,R6.56,716273,566,216,83.33
0:00,1.16,R7.16,717367,1482,360,63.33
0:00,1.55,R7.55,717369,1298,288,75.00
0:00,1.81,R7.81,718130,1119,288,100.00
0:00,2.27,R8.27,717376,1087,288,100.00
0:00,2.58,R8.58,717373,1078,288,100.00
0:00,3.11,R9.11,717379,1341,288,75.00
0:00,3.67,R9.67,717381,1322,288,100.00
0:00,4.13,R10.13,717383,1434,288,100.00
0:00,4.48,R10.48,717387,1269,288,100.00
0:00,5.03,R11.03,717390,1638,360,60.00
0:00,5.40,R11.4,773381,1459,360,100.00
0:00,5.78,R11.78,717393,820,216,0.00
0:00,6.20,R12.2,717396,1311,360,96.67
0:00,6.57,R12.57,716296,1597,360,80.00
0:00,7.26,R13.26,717402,1385,288,100.00
0:00,7.69,R13.69,717406,1550,288,100.00
0:00,8.21,R14.21,765467,1476,360,100.00
0:00,8.59,R14.59,718326,1337,288,100.00
0:00,8.80,R14.8,717418,1380,288,100.00
0:00,9.22,R15.22,717420,1457,360,100.00
0:00,9.54,R15.54,768898,1150,360,96.67
0:00,9.76,R15.76,717426,1615,360,80.00
0:00,10.22,R16.22,716312,1589,432,89.81
0:00,10.80,R16.8,716313,927,216,100.00
0:00,11.37,R17.37,766209,2125,360,70.00
0:00,11.96,R17.96,717431,1589,288,87.50
0:00,12.21,R18.21,717434,1699,288,100.00
0:00,12.54,R18.54,717436,1808,288,100.00
0:00,12.77,R18.77,717439,1600,288,70.83
0:00,13.11,R19.11,717441,1471,288,0.00
0:00,13.41,R19.41,759980,1485,288,100.00
0:00,13.50,R19.5,768223,1664,288,70.83
0:00,14.21,R20.21,717443,1401,288,75.00
0:00,14.70,R20.7,773363,1473,288,100.00
1:00,0.11,6.12,716272,234,216,100.00
1:00,0.56,R6.56,716273,474,216,83.33
1:00,1.16,R7.16,717367,1264,360,63.33
1:00,1.55,R7.55,717369,1090,288,75.00
1:00,1.81,R7.81,718130,864,288,100.00
1:00,2.27,R8.27,717376,835,288,100.00
1:00,2.58,R8.58,717373,820,288,100.00
1:00,3.11,R9.11,717379,1022,288,74.65
1:00,3.67,R9.67,717381,975,288,100.00
1:00,4.13,R10.13,717383,1091,288,100.00
1:00,4.48,R10.48,717387,941,288,100.00
1:00,5.03,R11.03,717390,1339,360,60.00
1:00,5.40,R11.4,773381,1130,360,100.00
1:00,5.78,R11.78,717393,624,216,0.00
1:00,6.20,R12.2,717396,997,360,96.67
1:00,6.57,R12.57,716296,1173,360,80.00
1:00,7.26,R13.26,717402,1056,288,100.00
1:00,7.69,R13.69,717406,1146,288,100.00
1:00,8.21,R14.21,765467,1113,360,100.00
1:00,8.59,R14.59,718326,1018,288,100.00
1:00,8.80,R14.8,717418,1057,288,100.00
1:00,9.22,R15.22,717420,1102,360,100.00
1:00,9.54,R15.54,768898,912,360,96.67
1:00,9.76,R15.76,717426,1330,360,80.00
1:00,10.22,R16.22,716312,1303,432,88.43
1:00,10.80,R16.8,716313,736,216,100.00
1:00,11.37,R17.37,766209,1637,360,70.00
1:00,11.96,R17.96,717431,1107,288,87.50
1:00,12.21,R18.21,717434,1241,288,100.00
1:00,12.54,R18.54,717436,1333,288,100.00
1:00,12.77,R18.77,717439,1260,288,70.83
1:00,13.11,R19.11,717441,1175,288,0.00
1:00,13.41,R19.41,759980,1075,288,100.00
1:00,13.50,R19.5,768223,1276,288,70.83
1:00,14.21,R20.21,717443,1036,288,75.00
1:00,14.70,R20.7,773363,1064,288,100.00
